data,ticker,market,sistema,entrada,stop,alvo_2r,r_pct,tipo,mme70,confluencia,bb_primeira,didi_ago,adx_ago,acima_ema70,ema70_incl,quality,vol_qtd,var_dia_pct
2026-09-14,IOT,EUA,DIDI,42.98,37.31,54.32,13.19,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,100.0,7256772.0,9.5
2026-09-14,CRWD,EUA,DIDI,236.41,200.6,308.03,15.15,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,99.0,22497125.0,7.95
2026-09-14,THG,EUA,DIDI,231.09,221.11,251.05,4.32,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,95.7,221409.0,1.32
2026-09-14,ACN,EUA,DIDI,195.13,169.75,245.9,13.01,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,84.9,3934579.0,2.41
2026-09-14,DIS,EUA,DIDI,108.7,102.99,120.12,5.25,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,84.4,5007896.0,1.5
2026-09-14,TTD,EUA,DIDI,14.94,13.71,17.41,8.26,3JUNTOS,ABAIXO,True,True,0,0,False,desce,84.1,13793115.0,3.07
2026-09-14,PANW,EUA,DIDI,376.98,321.39,488.14,14.75,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,82.1,9873090.0,8.8
2026-09-14,RSG,EUA,DIDI,225.71,219.58,237.96,2.71,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,80.1,765664.0,0.1
2026-09-14,GEN,EUA,DIDI,31.39,29.55,35.06,5.85,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,79.6,3827474.0,2.0
2026-09-14,MO,EUA,DIDI,70.57,67.4,76.92,4.5,3JUNTOS,ACIMA_LAT,True,True,0,0,True,lado,73.0,5788773.0,0.72
2026-09-14,MTCH,EUA,DIDI,43.14,40.11,49.2,7.02,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,55.4,1725195.0,0.77
2026-09-14,SNAP,EUA,DIDI,5.84,5.19,7.12,11.05,ADXHOJE,ACIMA_SUB,True,False,0,0,True,sobe,88.7,24761773.0,1.83
2026-09-14,CI,EUA,DIDI,289.97,272.34,325.23,6.08,ABERTURA,ACIMA_LAT,False,True,0,2,True,lado,86.7,823067.0,1.89
2026-09-14,FTNT,EUA,DIDI,170.22,151.8,207.06,10.82,ABERTURA,ACIMA_SUB,False,True,1,0,True,sobe,74.3,4565642.0,4.66
2026-09-14,NTRA,EUA,DIDI,341.03,316.0,391.09,7.34,ABERTURA,ACIMA_SUB,False,True,4,0,True,sobe,73.0,701402.0,4.0
2026-09-14,ELV,EUA,DIDI,424.78,389.7,494.93,8.26,ABERTURA,ACIMA_SUB,False,True,2,2,True,sobe,72.7,730392.0,0.53
2026-09-14,W,EUA,DIDI,105.55,93.0,130.65,11.89,ABERTURA,ACIMA_SUB,False,True,3,0,True,sobe,72.2,2022509.0,8.39
2026-09-14,ZS,EUA,DIDI,193.14,159.2,261.02,17.57,ABERTURA,ACIMA_SUB,False,True,0,,True,sobe,57.0,6312439.0,12.14
2026-09-14,DOCU,EUA,DIDI,69.48,63.63,81.17,8.42,ABERTURA,ACIMA_SUB,False,True,0,,True,sobe,56.1,2251708.0,3.7
2026-09-14,DBX,EUA,DIDI,37.19,33.49,44.6,9.95,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,81.8,3114044.0,3.03
